# D_loss, G_loss
1.373592734336853027e+00,6.531096696853637695e-01
1.378964185714721680e+00,6.539624929428100586e-01
1.375325083732604980e+00,6.657411456108093262e-01
1.366729497909545898e+00,6.551616191864013672e-01
1.364797353744506836e+00,6.611018776893615723e-01
1.388741850852966309e+00,6.631398797035217285e-01
1.371791481971740723e+00,6.664756536483764648e-01
1.364389896392822266e+00,6.644331216812133789e-01
1.382315397262573242e+00,6.649174690246582031e-01
1.371731400489807129e+00,6.739463210105895996e-01
1.362473726272583008e+00,6.621767878532409668e-01
1.375579118728637695e+00,6.632034778594970703e-01
1.376461267471313477e+00,6.605048179626464844e-01
1.387690186500549316e+00,6.647205948829650879e-01
1.374149322509765625e+00,6.598370075225830078e-01
1.379017114639282227e+00,6.616187095642089844e-01
1.376152515411376953e+00,6.571524143218994141e-01
1.366895437240600586e+00,6.628491878509521484e-01
1.381122589111328125e+00,6.624732017517089844e-01
1.383999943733215332e+00,6.588252782821655273e-01
1.375948190689086914e+00,6.675293445587158203e-01
1.379669427871704102e+00,6.566337347030639648e-01
1.376194715499877930e+00,6.648926734924316406e-01
1.368479847908020020e+00,6.655140519142150879e-01
1.376699209213256836e+00,6.656070351600646973e-01
1.379437804222106934e+00,6.627213954925537109e-01
1.372127056121826172e+00,6.607028245925903320e-01
1.369802594184875488e+00,6.674443483352661133e-01
1.374152183532714844e+00,6.639935374259948730e-01
1.368837118148803711e+00,6.652564406394958496e-01
1.366349458694458008e+00,6.700359582901000977e-01
1.381486892700195312e+00,6.632615327835083008e-01
1.373913049697875977e+00,6.633337736129760742e-01
1.374450683593750000e+00,6.673716306686401367e-01
1.372835159301757812e+00,6.664019227027893066e-01
1.375504016876220703e+00,6.626561880111694336e-01
1.364688396453857422e+00,6.637728214263916016e-01
1.395722150802612305e+00,6.795845627784729004e-01
1.369499087333679199e+00,6.742854118347167969e-01
1.381994009017944336e+00,6.622752547264099121e-01
1.384381294250488281e+00,6.746028065681457520e-01
1.369365215301513672e+00,6.690019369125366211e-01
1.382920622825622559e+00,6.683661341667175293e-01
1.377182602882385254e+00,6.658380627632141113e-01
1.383860111236572266e+00,6.655427217483520508e-01
1.385280966758728027e+00,6.684262752532958984e-01
1.364769458770751953e+00,6.675465106964111328e-01
1.380088329315185547e+00,6.683763861656188965e-01
1.370767354965209961e+00,6.742336750030517578e-01
1.379639625549316406e+00,6.640581488609313965e-01
1.393620014190673828e+00,6.650703549385070801e-01
1.371096849441528320e+00,6.704860925674438477e-01
1.375674843788146973e+00,6.724652647972106934e-01
1.367169260978698730e+00,6.707935333251953125e-01
1.376068234443664551e+00,6.662013530731201172e-01
1.358937978744506836e+00,6.672980785369873047e-01
1.375499725341796875e+00,6.663216948509216309e-01
1.372906446456909180e+00,6.658759117126464844e-01
1.370566368103027344e+00,6.635750532150268555e-01
1.379929304122924805e+00,6.644811630249023438e-01
1.375830411911010742e+00,6.703346967697143555e-01
1.364233136177062988e+00,6.785343885421752930e-01
1.379926919937133789e+00,6.788270473480224609e-01
1.372989416122436523e+00,6.710034012794494629e-01
1.374592781066894531e+00,7.075010538101196289e-01
1.341825246810913086e+00,6.804915666580200195e-01
1.355519890785217285e+00,6.812529563903808594e-01
1.352916121482849121e+00,6.796114444732666016e-01
1.356460094451904297e+00,6.780744791030883789e-01
1.362412452697753906e+00,6.769510507583618164e-01
1.373794317245483398e+00,6.725063323974609375e-01
1.387178540229797363e+00,6.690018177032470703e-01
1.376282930374145508e+00,6.771277189254760742e-01
1.377940416336059570e+00,6.831338405609130859e-01
1.367860674858093262e+00,6.742756366729736328e-01
1.360655546188354492e+00,6.741982102394104004e-01
1.356359958648681641e+00,6.765744686126708984e-01
1.359678268432617188e+00,6.753584146499633789e-01
1.363528251647949219e+00,6.680318117141723633e-01
1.373590946197509766e+00,6.730287075042724609e-01
1.358525633811950684e+00,6.687312126159667969e-01
1.370297908782958984e+00,6.760604977607727051e-01
1.386723995208740234e+00,6.730831861495971680e-01
1.369591951370239258e+00,6.812610626220703125e-01
1.370650053024291992e+00,6.771307587623596191e-01
1.376979589462280273e+00,6.708630323410034180e-01
1.381093025207519531e+00,6.703517436981201172e-01
1.377420902252197266e+00,6.772409677505493164e-01
1.379941582679748535e+00,6.739286780357360840e-01
1.368973970413208008e+00,6.763460636138916016e-01
1.372707962989807129e+00,6.814928650856018066e-01
1.366951704025268555e+00,6.771597266197204590e-01
1.368523597717285156e+00,6.694619059562683105e-01
1.369405746459960938e+00,6.676111221313476562e-01
1.369674324989318848e+00,6.685116291046142578e-01
1.373923540115356445e+00,6.839423775672912598e-01
1.371763467788696289e+00,6.745110750198364258e-01
1.372934937477111816e+00,6.729861497879028320e-01
1.358145952224731445e+00,6.742295026779174805e-01
1.381695032119750977e+00,6.715540885925292969e-01
1.387278079986572266e+00,6.731787919998168945e-01
1.383665800094604492e+00,6.761040091514587402e-01
